Data Set 1: Time (s),Data Set 1: Force G (N),Data Set 1: Force Y (N),Data Set 2: Time (s),Data Set 2: Force G (N),Data Set 2: Force Y (N),Data Set 3: Time (s),Data Set 3: Force G (N),Data Set 3: Force Y (N),Data Set 4: Time (s),Data Set 4: Force G (N),Data Set 4: Force Y (N),Data Set 5: Time (s),Data Set 5: Force G (N),Data Set 5: Force Y (N),Data Set 6: Time (s),Data Set 6: Force G (N),Data Set 6: Force Y (N),Data Set 7: Time (s),Data Set 7: Force G (N),Data Set 7: Force Y (N),Data Set 8: Time (s),Data Set 8: Force G (N),Data Set 8: Force Y (N),Data Set 9: Time (s),Data Set 9: Force G (N),Data Set 9: Force Y (N),Data Set 10: Time (s),Data Set 10: Force G (N),Data Set 10: Force Y (N),Data Set 11: Time (s),Data Set 11: Force G (N),Data Set 11: Force Y (N),Data Set 12: Time (s),Data Set 12: Force G (N),Data Set 12: Force Y (N),Data Set 13: Time (s),Data Set 13: Force G (N),Data Set 13: Force Y (N),Data Set 14: Time (s),Data Set 14: Force G (N),Data Set 14: Force Y (N),Data Set 15: Time (s),Data Set 15: Force G (N),Data Set 15: Force Y (N),Data Set 16: Time (s),Data Set 16: Force G (N),Data Set 16: Force Y (N),Data Set 17: Time (s),Data Set 17: Force G (N),Data Set 17: Force Y (N),Data Set 18: Time (s),Data Set 18: Force G (N),Data Set 18: Force Y (N),Data Set 19: Time (s),Data Set 19: Force G (N),Data Set 19: Force Y (N),Data Set 20: Time (s),Data Set 20: Force G (N),Data Set 20: Force Y (N)
0.000000,0.016617,-0.013046,0.000000,0.014542,-0.008698,0.000000,0.000000,-0.008698,0.000000,-0.002075,-0.006523,0.000000,0.002075,-0.008698,0.000000,0.006233,0.076118,0.000000,0.012466,-0.006523,0.000000,0.008316,0.004349,0.000000,0.004158,-0.008698,0.000000,-0.004158,-0.002174,0.000000,-0.002083,0.002174,0.000000,-0.004158,0.000000,0.000000,-0.002083,0.004349,0.000000,0.008308,0.004349,0.000000,0.004158,-0.008698,0.000000,0.002083,-0.013054,0.000000,0.000000,-0.004349,0.000000,0.004158,-0.002174,0.000000,0.002083,0.010872,0.000000,0.000000,0.017395
0.020000,0.029083,-0.008698,0.020000,0.008308,-0.004349,0.020000,0.002083,-0.010872,0.020000,0.004158,-0.008698,0.020000,-0.004158,-0.006523,0.020000,0.008308,0.073944,0.020000,0.002083,-0.006523,0.020000,0.004158,0.004349,0.020000,0.002075,-0.002174,0.020000,0.000000,0.002174,0.020000,-0.006233,-0.004349,0.020000,-0.002083,0.002174,0.020000,0.000000,0.002174,0.020000,0.008308,0.004349,0.020000,0.008316,-0.006523,0.020000,-0.004150,-0.013054,0.020000,-0.002075,-0.010880,0.020000,-0.002075,-0.008698,0.020000,0.002083,0.010872,0.020000,0.004158,0.008698
0.040000,0.022850,-0.015221,0.040000,0.006226,-0.004349,0.040000,0.002083,-0.015221,0.040000,0.000000,-0.008698,0.040000,0.000000,-0.004349,0.040000,0.004150,0.052200,0.040000,0.006233,-0.004349,0.040000,0.008316,0.000000,0.040000,0.004158,0.002174,0.040000,0.002075,0.000000,0.040000,-0.008316,0.002174,0.040000,-0.008316,0.006523,0.040000,0.004150,0.004349,0.040000,0.004150,-0.002174,0.040000,0.004158,-0.008698,0.040000,0.002083,-0.013054,0.040000,-0.004150,-0.010880,0.040000,0.004158,-0.010880,0.040000,0.008316,0.006523,0.040000,0.006233,0.015221
0.060000,0.020775,-0.015221,0.060000,0.012459,-0.002174,0.060000,0.000000,-0.008698,0.060000,0.004158,-0.008698,0.060000,-0.002075,-0.008698,0.060000,0.002075,0.015221,0.060000,0.008316,-0.008698,0.060000,0.012466,0.000000,0.060000,0.002075,-0.008698,0.060000,-0.002083,0.000000,0.060000,-0.002083,0.010880,0.060000,-0.004158,0.002174,0.060000,-0.002083,0.002174,0.060000,-0.002083,0.002174,0.060000,0.004158,-0.008698,0.060000,0.000000,-0.015228,0.060000,0.002083,-0.008698,0.060000,0.000000,-0.004349,0.060000,0.002083,0.013054,0.060000,0.002083,0.013046
0.080000,0.024925,-0.013046,0.080000,0.008308,-0.006523,0.080000,0.004158,-0.004349,0.080000,0.006233,-0.010872,0.080000,0.002075,-0.010872,0.080000,0.010384,0.010872,0.080000,0.006233,-0.010872,0.080000,0.004158,-0.002174,0.080000,0.002075,-0.008698,0.080000,-0.004158,-0.002174,0.080000,-0.008316,0.010880,0.080000,-0.006233,0.004349,0.080000,0.010384,0.006523,0.080000,0.002075,0.002174,0.080000,0.002083,-0.013054,0.080000,0.002083,-0.006523,0.080000,0.004158,-0.006523,0.080000,0.008316,-0.013054,0.080000,0.002083,0.013054,0.080000,0.002083,0.017395
0.100000,0.020775,-0.019569,0.100000,0.014542,-0.008698,0.100000,0.006233,-0.008698,0.100000,0.008308,-0.008698,0.100000,0.000000,-0.006523,0.100000,0.010384,0.006523,0.100000,0.012466,-0.010872,0.100000,0.008316,0.000000,0.100000,0.004158,-0.006523,0.100000,-0.002083,-0.002174,0.100000,-0.006233,0.004349,0.100000,-0.002083,-0.002174,0.100000,0.000000,0.008698,0.100000,0.002075,0.008698,0.100000,0.004158,-0.006523,0.100000,0.004158,-0.010880,0.100000,0.006233,-0.008698,0.100000,0.006233,-0.004349,0.100000,0.008316,0.021751,0.100000,0.000000,0.013046
0.120000,0.020775,-0.013046,0.120000,0.004150,-0.006523,0.120000,0.008316,-0.004349,0.120000,0.002075,-0.008698,0.120000,0.006233,0.023926,0.120000,0.002075,-0.002174,0.120000,0.004158,-0.015221,0.120000,0.008316,0.000000,0.120000,0.000000,0.004349,0.120000,-0.016624,0.008698,0.120000,0.000000,0.000000,0.120000,-0.004158,0.002174,0.120000,0.002075,0.004349,0.120000,0.002075,0.002174,0.120000,0.010391,-0.006523,0.120000,0.000000,-0.010880,0.120000,0.000000,0.000000,0.120000,-0.002075,-0.004349,0.120000,0.006233,0.015228,0.120000,0.002083,0.019569
0.140000,0.018692,-0.008698,0.140000,0.014542,-0.004349,0.140000,0.010391,-0.008698,0.140000,0.004158,-0.004349,0.140000,0.006233,0.039154,0.140000,0.004150,0.000000,0.140000,0.006233,-0.017395,0.140000,0.010391,-0.002174,0.140000,-0.002075,0.002174,0.140000,-0.139206,-0.002174,0.140000,0.002075,0.008698,0.140000,-0.002083,0.002174,0.140000,0.000000,0.004349,0.140000,0.000000,0.000000,0.140000,0.010391,-0.013054,0.140000,-0.002075,-0.010880,0.140000,0.000000,-0.006523,0.140000,-0.002075,-0.004349,0.140000,0.000000,0.010872,0.140000,0.008316,0.021744
0.160000,0.020775,-0.013046,0.160000,0.014542,-0.004349,0.160000,0.002083,-0.013046,0.160000,0.002075,-0.013046,0.160000,0.006233,0.050026,0.160000,0.010384,0.000000,0.160000,-0.002075,-0.008698,0.160000,0.004158,0.002174,0.160000,0.002075,-0.004349,0.160000,-0.151672,-0.002174,0.160000,-0.062332,0.006523,0.160000,-0.002083,0.002174,0.160000,-0.006233,0.010880,0.160000,-0.006233,-0.006523,0.160000,0.010391,-0.013054,0.160000,0.002083,-0.010880,0.160000,0.004158,-0.002174,0.160000,-0.002075,-0.015228,0.160000,-0.002075,0.002174,0.160000,0.006233,0.021744
0.180000,0.022850,-0.004349,0.180000,0.006226,-0.008698,0.180000,0.008316,0.032623,0.180000,-0.002075,-0.010872,0.180000,0.004158,0.043503,0.180000,0.002075,0.000000,0.180000,0.000000,-0.006523,0.180000,0.008316,0.006523,0.180000,0.008308,-0.002174,0.180000,-0.116348,-0.002174,0.180000,-0.132973,0.010880,0.180000,0.000000,0.002174,0.180000,-0.002083,0.006523,0.180000,-0.006233,0.008698,0.180000,-0.054016,-0.010880,0.180000,0.002083,-0.013054,0.180000,-0.002075,-0.006523,0.180000,0.006233,-0.006523,0.180000,0.002083,0.010872,0.180000,0.010391,0.015221
0.200000,0.027008,-0.008698,0.200000,0.012459,0.000000,0.200000,0.000000,0.065254,0.200000,0.006233,-0.008698,0.200000,0.002075,0.030449,0.200000,0.002075,0.002174,0.200000,0.006233,-0.008698,0.200000,0.002083,0.008698,0.200000,-0.004158,-0.004349,0.200000,-0.033241,0.008698,0.200000,-0.145439,0.006523,0.200000,-0.002083,0.000000,0.200000,0.000000,0.006523,0.200000,-0.155823,0.002174,0.200000,-0.141281,0.004349,0.200000,0.002083,-0.008698,0.200000,-0.002075,-0.008698,0.200000,0.008316,-0.004349,0.200000,-0.002075,0.010872,0.200000,0.000000,0.017395
0.220000,0.024925,-0.021744,0.220000,0.010384,0.008705,0.220000,0.010391,0.060898,0.220000,-0.002075,-0.004349,0.220000,0.000000,0.006531,0.220000,0.004150,0.004349,0.220000,0.000000,-0.008698,0.220000,0.008316,0.002174,0.220000,-0.004158,-0.006523,0.220000,-0.008316,-0.002174,0.220000,-0.095573,0.000000,0.220000,-0.004158,0.002174,0.220000,-0.006233,0.010880,0.220000,-0.166214,0.010880,0.220000,-0.164131,-0.017403,0.220000,0.004158,-0.010880,0.220000,-0.004150,-0.006523,0.220000,0.000000,-0.008698,0.220000,0.006233,0.008698,0.220000,-0.004150,0.021744
0.240000,0.020775,-0.017395,0.240000,0.012459,-0.006523,0.240000,0.004158,0.047852,0.240000,-0.002075,-0.004349,0.240000,-0.002075,-0.013046,0.240000,-0.002083,0.004349,0.240000,0.002083,0.000000,0.240000,0.006233,-0.008698,0.240000,0.002075,-0.004349,0.240000,0.006233,0.000000,0.240000,-0.037399,0.000000,0.240000,-0.083107,0.006523,0.240000,-0.002083,0.002174,0.240000,-0.112198,0.008698,0.240000,-0.085182,-0.002174,0.240000,0.006233,-0.010880,0.240000,-0.008308,-0.006523,0.240000,0.006233,-0.002174,0.240000,0.002083,0.017403,0.240000,0.002083,0.017395
